Date,XIV,SPX,10-Day-Rank,50-Day-Rank,10-Day-Range,50-Day-Range,Percent-Change,Volume,Vol_30D,Impl_vol_50D,Impl_vol_25D,Impl_vol_40D,Impl_vol 75D,Vix-Open,Vix-Close,VVIX,UX1,UX2,Contango,Futures-Percent,compound,neg,pos,VIX-Spike
1/3/11,12.38,1257.62,4,4,13.68,81.11,1.13,863689088,11.21,13.52,12.44,13.1,15.57,17.61,17.94,86.36,19.4,21.25,1,0.095360825,0.288014286,0.058142857,0.197285714,0
1/4/11,12.135,1272.95,1,1,23.52,94.62,-0.13,836051392,11.2,13.42,12.47,13.04,15.38,17.38,17.34,84.8,19.15,21.2,1,0.107049608,0.2034375,0.096,0.175625,0
1/5/11,12.599,1268.78,2,2,18.29,94.62,0.5,817246848,10,12.65,11.79,12.31,14.41,17.02,17.81,85.25,19.15,21.4,1,0.117493473,0.23934,0.0995,0.2314,1
1/6/11,12.526,1276.29,1,1,21.63,97.96,-0.21,888521856,9.36,13.44,12.49,13.07,15.29,17.4,16.8,84.7,18.55,20.65,1,0.113207547,-0.000963636,0.094727273,0.099727273,1
1/7/11,12.508,1274.41,2,2,21.63,97.96,-0.18,864579584,8.97,12.67,11.8,12.33,14.47,17.14,17.31,84.6,18.6,20.85,1,0.120967742,0.1338,0.075555556,0.175888889,0
1/10/11,12.546,1270.84,4,4,19.53,97.96,-0.14,748085568,8.97,12.84,12.12,12.55,14.57,17.54,18.35,83.73,19.1,21.3,1,0.115183246,-0.31875,0.18375,0.063583333,0
1/11/11,12.916,1272.58,4,4,19.53,97.96,0.37,723904960,8.59,12.02,11.36,11.76,13.89,16.89,16.61,81.65,18.45,20.7,1,0.12195122,0.1154,0.102875,0.139625,0
1/12/11,13.492,1275.65,2,2,19.53,97.96,0.9,747161536,6.66,12.17,12,12.1,13.52,16.24,16.26,79.82,17.7,20.07,1,0.133898305,0.033415385,0.120846154,0.134230769,0
1/13/11,13.61,1285.78,1,1,29.02,107.45,-0.17,753236800,5.9,11.88,11.75,11.83,13.37,16.39,16.51,77.94,17,19.45,1,0.144117647,0.297822222,0.027666667,0.176777778,0
1/14/11,14.209,1282.9,2,2,28.16,107.45,0.74,863746496,6.13,10.34,10.3,10.32,12.04,15.46,16.67,78.64,17.3,19.6,1,0.132947977,0.2866,0.035384615,0.201769231,0
